Avistaje ID,Focal Sample ID,Focal Animal,Focal Age-Sex Class,Time Start,FS Rev by PI,FS Rev by Assistant,Focal Data Checked by PI,Focal Data Checked by Assistant,Inter-Observer Rel,Comments,Dictaphone File Name,Time End,Dictaphone Used,Transcribed,Date of Transcription,End Early,Focal Completion,Start Focal in Sleep Tree,Start Sleep Tree ID,End Focal in Sleep Tree,End Sleep Tree ID
AV27552,FS27502,Kong/,AM,12/30/1899 15:38:00,0,0,0,0,0,,,12/30/1899 15:58:00,,0,4/22/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27552,FS27503,Kahlo/,INF12,12/30/1899 16:14:00,0,0,0,0,0,,,12/30/1899 16:34:00,,0,4/30/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27504,Kahlo/,INF12,12/30/1899 9:39:00,0,0,0,0,0,,,12/30/1899 9:59:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27505,Kahlo/,INF12,12/30/1899 10:31:00,0,0,0,0,0,,,12/30/1899 10:51:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27506,Katta/,AF,12/30/1899 11:51:00,0,0,0,0,0,,,12/30/1899 12:11:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27507,Katta/,AF,12/30/1899 12:29:00,0,0,0,0,0,,,12/30/1899 12:49:00,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27555,FS27508,Kahlo/,INF12,12/30/1899 13:15:00,0,0,0,0,0,,,12/30/1899 13:35:55,,0,4/23/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27567,FS27509,Luciferus/,AM,12/30/1899 7:38:00,0,0,0,0,0,,,12/30/1899 7:58:00,,0,5/1/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27570,FS27510,Kong/,AM,12/30/1899 17:15:00,0,0,0,0,0,,,12/30/1899 17:35:00,,0,5/2/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
AV27570,FS27511,Katta/,AF,12/30/1899 17:44:51,0,0,0,0,0,,,12/30/1899 18:04:00,,0,5/2/15 0:00,0,Focal Completed - 20 full minutes,0,,0,
